,OPERADORA,ESTADO,ANO_BASE,Q5,Q7,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A1_2,A1_3,E1,E3,E5,E7,F1,F3,H1,H2
2,3,25,2020,1,56,2,INSATISFEITO,0,0,1,1,0,0,2,2.0,1.0,2.0,2,1,1.0,1.0,2,1,2,10000
3,8,6,2020,1,52,1,SATISFEITO,10,10,10,10,10,10,10,1.0,2.0,1.0,1,2,1.0,1.0,2,2,1,1300
4,8,19,2020,1,53,1,INSATISFEITO,10,0,0,10,0,7,10,2.0,2.0,2.0,1,2,2.0,2.0,2,1,1,1040
6,10,2,2020,1,37,1,INSATISFEITO,5,5,0,5,0,5,5,2.0,1.0,2.0,1,2,1.0,1.0,2,2,2,1045
10,13,4,2020,2,28,1,INSATISFEITO,7,3,5,4,4,8,8,1.0,1.0,2.0,1,2,2.0,1.0,2,1,2,5000
11,13,11,2020,1,65,1,SATISFEITO,9,9,9,10,8,10,9,1.0,1.0,1.0,2,2,2.0,2.0,2,1,2,1200
12,8,2,2020,1,29,1,INSATISFEITO,10,9,8,8,8,7,9,1.0,2.0,2.0,1,2,2.0,1.0,2,1,1,3000
14,8,5,2020,1,26,2,INSATISFEITO,4,0,3,1,1,0,8,1.0,1.0,1.0,1,2,2.0,1.0,2,1,1,3000
16,8,12,2020,1,44,1,SATISFEITO,9,9,8,9,8,10,9,1.0,2.0,2.0,2,2,2.0,1.0,2,1,1,2000
18,11,2,2020,1,37,2,INSATISFEITO,10,10,5,5,10,10,0,1.0,2.0,2.0,1,1,2.0,1.0,2,1,1,5000
21,13,5,2020,1,59,2,SATISFEITO,8,9,10,10,5,3,3,1.0,2.0,2.0,2,1,2.0,1.0,1,1,2,7000
28,0,8,2020,2,18,1,INSATISFEITO,7,4,1,0,5,6,6,1.0,2.0,1.0,2,2,2.0,1.0,2,2,2,1500
29,0,25,2020,1,52,2,INSATISFEITO,10,6,8,8,8,10,8,1.0,2.0,2.0,1,1,1.0,2.0,2,2,3,4000
31,5,22,2020,1,27,2,INSATISFEITO,5,5,2,2,2,2,5,1.0,2.0,2.0,1,1,1.0,1.0,2,2,1,1800
32,5,25,2020,1,24,1,INSATISFEITO,5,5,5,7,0,0,0,1.0,2.0,2.0,1,1,2.0,1.0,2,2,2,1500
33,8,1,2020,1,67,1,INSATISFEITO,0,0,0,6,0,6,6,1.0,2.0,2.0,2,2,2.0,1.0,2,1,3,25000
37,8,13,2020,1,30,1,INSATISFEITO,7,5,0,0,0,7,7,2.0,1.0,2.0,2,1,2.0,1.0,2,1,1,1900
39,8,16,2020,2,47,2,SATISFEITO,7,8,9,9,9,9,10,1.0,1.0,2.0,2,2,2.0,1.0,2,1,1,4000
40,8,21,2020,1,55,2,INSATISFEITO,7,0,3,2,3,0,5,1.0,2.0,2.0,1,2,2.0,1.0,2,1,3,10000
43,10,10,2020,1,49,1,INSATISFEITO,0,0,0,0,0,0,0,1.0,2.0,2.0,1,1,2.0,1.0,2,2,1,1200
45,11,8,2020,1,29,2,INSATISFEITO,8,6,8,7,5,9,8,1.0,1.0,2.0,2,2,2.0,1.0,2,2,2,2000
46,13,6,2020,1,28,1,INSATISFEITO,8,5,6,5,7,5,7,1.0,1.0,2.0,1,1,2.0,1.0,2,1,2,5000
48,3,1,2020,1,61,2,INSATISFEITO,1,1,1,1,1,5,5,1.0,2.0,2.0,2,2,2.0,1.0,2,1,2,10000
50,3,10,2020,1,41,2,INSATISFEITO,9,8,6,4,4,5,7,2.0,1.0,2.0,2,1,2.0,1.0,2,1,3,10000
52,3,17,2020,2,57,1,INSATISFEITO,8,6,6,5,5,8,10,1.0,2.0,2.0,2,2,2.0,1.0,2,2,2,15000
53,3,17,2020,1,52,2,INSATISFEITO,0,0,0,0,0,0,0,1.0,2.0,2.0,1,2,2.0,1.0,1,1,2,3000
54,3,22,2020,1,74,2,INSATISFEITO,5,5,5,5,5,10,10,1.0,2.0,1.0,2,2,2.0,1.0,2,2,1,4000
55,3,23,2020,1,38,2,SATISFEITO,9,9,10,10,9,8,8,1.0,1.0,2.0,2,1,2.0,2.0,1,2,2,3500
58,5,17,2020,1,39,2,INSATISFEITO,8,7,7,5,2,10,10,2.0,1.0,2.0,2,2,2.0,1.0,2,2,2,10000
59,5,17,2020,1,32,2,SATISFEITO,9,9,9,10,7,10,9,1.0,2.0,2.0,2,2,1.0,2.0,2,2,1,1500
60,5,22,2020,1,40,2,INSATISFEITO,5,5,5,5,5,5,5,1.0,2.0,2.0,1,1,1.0,1.0,2,2,1,2000
61,8,10,2020,2,18,2,INSATISFEITO,7,7,5,4,5,8,8,1.0,2.0,2.0,2,2,2.0,1.0,2,1,2,3000
62,8,15,2020,1,44,2,SATISFEITO,10,10,10,10,10,10,10,2.0,2.0,2.0,1,2,2.0,2.0,2,2,3,2200
65,8,17,2020,1,31,2,SATISFEITO,7,7,10,9,8,7,7,1.0,2.0,1.0,2,2,2.0,2.0,2,2,2,2500
66,8,17,2020,1,43,1,INSATISFEITO,10,7,3,7,6,10,10,1.0,1.0,2.0,2,2,2.0,1.0,2,1,1,4000
68,8,17,2020,1,66,1,SATISFEITO,10,10,10,8,10,10,10,1.0,1.0,2.0,2,2,2.0,1.0,2,1,2,4000
69,8,17,2020,1,38,1,INSATISFEITO,5,5,4,4,4,8,8,1.0,1.0,2.0,2,2,2.0,1.0,2,1,1,2500
74,8,23,2020,1,51,2,SATISFEITO,10,10,10,8,8,10,10,1.0,2.0,2.0,2,2,2.0,2.0,2,2,2,3000
76,8,23,2020,1,59,1,SATISFEITO,10,8,10,8,8,10,10,2.0,2.0,2.0,2,2,2.0,2.0,2,2,2,2500
79,8,23,2020,1,42,1,INSATISFEITO,8,6,3,0,3,9,7,1.0,1.0,2.0,2,2,2.0,1.0,2,1,1,1500
80,9,17,2020,1,22,1,SATISFEITO,10,10,10,10,10,10,10,1.0,1.0,2.0,2,2,2.0,2.0,2,2,3,3500
81,9,17,2020,1,33,1,INSATISFEITO,9,8,5,3,3,10,10,1.0,1.0,2.0,2,2,2.0,1.0,2,1,2,4000
82,9,17,2020,1,42,1,INSATISFEITO,0,0,0,0,0,0,2,1.0,2.0,2.0,2,2,1.0,1.0,2,1,2,3000
83,9,17,2020,1,54,2,INSATISFEITO,8,2,7,8,6,9,10,1.0,1.0,2.0,1,1,2.0,1.0,2,2,2,2500
89,12,23,2020,1,31,2,SATISFEITO,10,10,10,10,10,10,10,2.0,2.0,2.0,2,2,2.0,2.0,2,2,2,3800
90,13,10,2020,1,51,2,INSATISFEITO,7,7,6,6,6,8,8,1.0,2.0,2.0,2,1,1.0,1.0,2,1,2,10000
95,13,23,2020,1,53,1,INSATISFEITO,6,5,3,0,3,6,10,1.0,1.0,2.0,1,2,2.0,1.0,2,1,2,5000
96,13,23,2020,1,47,2,INSATISFEITO,5,4,8,3,5,6,6,2.0,2.0,2.0,2,2,2.0,2.0,2,2,1,5000
97,13,23,2020,1,38,1,INSATISFEITO,6,6,3,3,4,8,4,1.0,2.0,2.0,1,2,2.0,1.0,2,2,2,5000
99,3,17,2020,1,27,1,INSATISFEITO,8,0,6,2,8,3,10,1.0,2.0,2.0,1,1,2.0,1.0,2,1,2,7000
102,3,23,2020,1,21,2,INSATISFEITO,6,5,3,1,4,4,3,1.0,1.0,2.0,2,1,1.0,1.0,2,1,3,5000
104,5,17,2020,1,54,2,INSATISFEITO,0,0,0,0,0,10,0,1.0,2.0,2.0,1,1,1.0,1.0,2,2,1,2000
105,5,22,2020,1,62,2,INSATISFEITO,0,0,5,6,4,8,0,2.0,1.0,2.0,1,2,2.0,2.0,2,2,1,6000
